|              Line Name |                Species |           QNs | v | J$_u$ | J$_l$ |          Frequency |      Fitted Velocity | Fitted Velocity error |       Fitted Width |  Fitted Width error |     Fitted Amplitude | Fitted Amplitude error |  Fitted Amplitude K | Fitted Amplitude error K | Integrated Intensity | Integrated Intensity error |               Jy/K |               EU_K |  deg |                    Aij | Flag |
|  39K-35Clv=3-3 J=29-28 |  39K-35Clv=3-3 J=29-28 | v=3-3 J=29-28 | 3 |    29 |    28 | 218.57970038426018 |    4.378065524282157 |    0.4178226857051698 | 3.2640087266125826 |  0.4178226157685806 |   1.0231871210859833 |      0.113428719993583 |   4.990309476304139 |       0.5532169088174622 |    40.82899827705422 |          2.758271639403202 |  4877.220767798131 | 1345.0583565643997 |  944 |              0.0066243 |   -d |
|  39K-35Clv=3-3 J=31-30 |  39K-35Clv=3-3 J=31-30 | v=3-3 J=31-30 | 3 |    31 |    30 | 233.60569082080778 |     4.82227270625548 |    0.6519465462797319 |  4.243820480143846 |  0.6520009082639476 |   1.0755117745148377 |    0.14308937940584432 |   6.027537739021639 |       0.8019220754798103 |    64.11902011479077 |           5.19869668144128 |  5604.343794135268 | 1367.1190419652214 | 1008 |              0.0080975 |   -d |
|  39K-35Clv=4-4 J=13-12 |  39K-35Clv=4-4 J=13-12 | v=4-4 J=13-12 | 4 |    13 |    12 |  97.49130554656406 |    8.026445539970778 |    2.1338864691949464 | 7.0024784042367445 |   2.389348793375403 |   0.7348897624698068 |     0.1803825879844184 |   6.113287849873718 |       1.5005389104181839 |    107.3041596507349 |         17.993479555983352 |  8318.646090984135 |  1609.487088357844 |  432 |             0.00058157 |   -d |
|  39K-35Clv=4-4 J=29-28 |  39K-35Clv=4-4 J=29-28 | v=4-4 J=29-28 | 4 |    29 |    28 | 217.22889217842985 | -0.30282033731949626 |     0.593283744751877 |   3.23348034797785 |  0.5938541708007944 |   0.7195254417747983 |     0.1143491205668869 |  3.5092844275831716 |       0.5577059056082732 |   28.443217952824767 |         2.7559158762093454 |  4877.220767798131 |  1733.213093745079 |  944 |              0.0065775 |   cd |
|  39K-35Clv=4-4 J=31-30 |  39K-35Clv=4-4 J=31-30 | v=4-4 J=31-30 | 4 |    31 |    30 |  232.1618272144525 |    4.579592971768668 |    0.5692258134943831 |   3.90572728966237 |   0.569230223368397 |    1.185378506972687 |    0.14961386603239146 |   6.643268679253708 |       0.8384875416152184 |    65.03897192097996 |          5.002510298361715 |  5604.343794135268 | 1755.1374506752938 | 1008 |              0.0080403 |   -d |
|  39K-35Clv=5-5 J=29-28 |  39K-35Clv=5-5 J=29-28 | v=5-5 J=29-28 | 5 |    29 |    28 | 215.88368964580044 |    6.306885843256248 |    2.0770559012620486 |  4.267112819068579 |    2.07800180488059 |   0.5473436997215573 |    0.23075114539100525 |  3.0483620255405404 |       1.2851395372190493 |   32.605480329778516 |          8.378446369337794 |  5569.374466338595 | 2118.0478104572576 |  944 |              0.0065309 |   -d |
|  39K-35Clv=5-5 J=31-30 |  39K-35Clv=5-5 J=31-30 | v=5-5 J=31-30 | 5 |    31 |    30 | 230.72395901148118 |   5.3156786949518215 |    0.4454893231097658 |  4.306202982016131 | 0.44552472293465467 |   0.9380092957600153 |     0.0840402230926414 |    5.20886027735917 |       0.4666838396446549 |   56.224699063481054 |         3.0698813417595017 |  5553.100913716135 | 2139.8364503972402 | 1008 |              0.0079833 |   -d |
|  39K-35Clv=5-5 J=45-44 |  39K-35Clv=5-5 J=45-44 | v=5-5 J=45-44 | 5 |    45 |    44 | 334.29926539768013 |   1.7477549875685323 |   0.30223243902504165 | 15.001784390369531 |  0.4908583655406143 |    5.825599996097893 |    0.06912645722684657 |   42.74158298495258 |       0.5071707995736187 |   1607.2500808842392 |         22.317075010544684 |  7336.855090219338 | 2332.1602752763347 | 1456 |               0.024462 |   -d |
|  39K-35Clv=6-6 J=29-28 |  39K-35Clv=6-6 J=29-28 | v=6-6 J=29-28 | 6 |    29 |    28 | 214.54406280712735 |      6.3640242277472 |    1.9083004911020933 |  4.377311598542776 |  1.9099348735658719 |   0.6053026077391319 |    0.22856569996319603 |  3.3711568879504874 |       1.2729679732558323 |    36.98932119023412 |          8.515039169801092 |  5569.374466338595 | 2499.5899628891784 |  944 |              0.0064846 |   -d |
|  39K-35Clv=6-6 J=31-30 |  39K-35Clv=6-6 J=31-30 | v=6-6 J=31-30 | 6 |    31 |    30 |  229.2921161911639 |    6.028977439144842 |   0.48905170615671806 |  3.181503261438782 |  0.4890516837382082 |   0.7367368131349301 |     0.0980747122748207 |   4.091173870187895 |       0.5446187743457539 |    32.62648170060735 |          2.646781820199383 |  5553.100913716135 | 2521.2435001968593 | 1008 |              0.0079266 |   cd |
|  39K-35Clv=6-6 J=47-46 |  39K-35Clv=6-6 J=47-46 | v=6-6 J=47-46 | 6 |    47 |    46 |  346.8748452495574 |    0.704548992535847 |    1.1253613500872546 | 5.4935450066421705 |  1.1838357548628282 |   0.5770311729580574 |    0.10183118761813949 |   4.437133120027989 |        0.783040078954406 |    61.10054434643676 |          6.789449497737372 | 7689.5899701254275 |  2745.314802021911 | 1520 |                0.02767 |   -d |
|  39K-35Clv=7-7 J=47-46 |  39K-35Clv=7-7 J=47-46 | v=7-7 J=47-46 | 7 |    47 |    46 |   344.714687613421 |     4.77811653905284 |    3.1037612195714135 |  9.319496408263715 |  3.8744493802424684 |   0.7204616976282058 |     0.2023058326460931 |   5.065672440062071 |       1.4224421426883116 |   118.33670791447508 |         23.684179029407815 |  7031.147466601634 |  3122.063782801743 | 1520 |               0.027472 |   -d |
|  39K-37Clv=0-0 J=45-44 |  39K-37Clv=0-0 J=45-44 | v=0-0 J=45-44 | 0 |    45 |    44 |  335.0507062371613 |    7.056468402756105 |    0.3617068972178677 |  5.761508502225517 |  0.3697778454625114 |    1.718047370106543 |    0.09349715351773218 |  12.605064592604139 |       0.6859750667075922 |   182.04184010858165 |          6.111128925094123 |  7336.855090219338 | 370.42287962265874 | 1456 |               0.023246 |   -d |
|  39K-37Clv=1-1 J=12-11 |  39K-37Clv=1-1 J=12-11 | v=1-1 J=12-11 | 1 |    12 |    11 |  89.08292007237985 |   3.1279475378433674 |     1.180390684090904 |  4.663628483533427 |  1.1809528666669338 |   0.7552342356580659 |    0.16556018782749213 |   5.482933795385722 |        1.201952329688551 |    64.09540296345351 |          8.564339765861419 | 7259.9116095527925 |  421.3815995324984 |  400 |             0.00042721 |   -d |
|  39K-37Clv=1-1 J=31-30 |  39K-37Clv=1-1 J=31-30 | v=1-1 J=31-30 | 1 |    31 |    30 | 229.81879612040487 |    5.499246733526311 |   0.33918098171869643 |  4.791914598335172 | 0.33941053993032316 |   1.3022723972975672 |    0.07983853043494689 |   7.231650039340423 |       0.4433514163080571 |    86.86331606340825 |         3.2462395023833905 |  5553.100913716135 |  570.1893069569386 | 1008 |              0.0075327 |   -d |
|  39K-37Clv=1-1 J=47-46 |  39K-37Clv=1-1 J=47-46 | v=1-1 J=47-46 | 1 |    47 |    46 |  347.7126549301763 |    4.583615354116458 |    0.5216588974439762 | 3.4318045389435143 |  0.5216591732998256 |   0.9634479509700775 |    0.12683024739418047 |   7.408519700517402 |       0.9752725982708168 |   63.730000012795735 |          5.112545210154601 | 7689.5899701254275 |  794.7894371534984 | 1520 |                 0.0263 |   -d |
|  39K-37Clv=2-2 J=12-11 |  39K-37Clv=2-2 J=12-11 | v=2-2 J=12-11 | 2 |    12 |    11 |  88.54307621754162 |     5.18850456171425 |    1.4894580061639746 |   4.60957240498255 |  1.4896196881292219 |    0.596828250971383 |    0.16701661962856015 |   4.332920348136231 |       1.2125258958296468 |    50.06466110751299 |          8.538077667991073 | 7259.9116095527925 |   811.492120004998 |  400 |             0.00042426 |   -d |
|  39K-37Clv=3-3 J=12-11 |  39K-37Clv=3-3 J=12-11 | v=3-3 J=12-11 | 3 |    12 |    11 |  88.00523076472894 |    4.387455052392395 |    1.3757770827707207 |  6.440230213660614 |  1.4142538831700187 |    0.770267515164076 |    0.14286764142899996 |   5.592074075801056 |       1.0372064486398225 |    90.27432335264929 |          10.35212658001176 | 7259.9116095527925 | 1198.3185577897405 |  400 |             0.00042132 |   -d |
|  39K-37Clv=4-4 J=32-31 |  39K-37Clv=4-4 J=32-31 | v=4-4 J=32-31 | 4 |    32 |    31 |  232.9075714655603 |    4.964810095305934 |    1.0675276178577784 |  5.099530640690062 |  1.0697496606727164 |   0.7212612486407517 |    0.13080720920603015 |   4.042196002770051 |       0.7330885711419687 |   51.669886558674065 |          5.716105260419739 |  5604.343794135268 | 1739.1761050492405 | 1040 |              0.0081166 |   -d |
|  39K-37Clv=6-6 J=30-29 |  39K-37Clv=6-6 J=30-29 | v=6-6 J=30-29 | 6 |    30 |    29 | 215.73683040794143 |    5.810911003646366 |    2.8071565237016043 |  2.951613749377753 |  2.8071557068877078 |   0.3369215142496049 |     0.2775044070027851 |  1.8764420786218847 |       1.5455259586577448 |    13.88304151066219 |          6.968225613582507 |  5569.374466338595 |  2472.996595037401 |  976 |              0.0065903 |   -d |
|  39K-37Clv=6-6 J=32-31 |  39K-37Clv=6-6 J=32-31 | v=6-6 J=32-31 | 6 |    32 |    31 | 230.07076029889177 |   3.8600099624964916 |     1.317301486983886 |  5.159415134272714 |  1.3216974532060866 |   0.3478853822360316 |    0.07696066188482044 |   1.931842633963394 |      0.42737032183279494 |   24.984010500653376 |          3.373624217220401 |  5553.100913716135 | 2494.7346547595102 | 1040 |              0.0080035 |   -d |
